Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,"Almonds, in shell",1371.0,2019,29203.0,1308.3,0.0,0.0,0.0,0.0,38205.0
Crops and livestock products,Afghanistan,"Almonds, in shell",1371.0,2020,22134.0,1775.9,0.0,0.0,0.0,0.0,39307.0
Crops and livestock products,Afghanistan,"Almonds, in shell",1371.0,2021,36862.0,1743.2,0.0,0.0,0.0,0.0,64256.0
Crops and livestock products,Afghanistan,"Almonds, in shell",1371.0,2022,36462.0,1742.0,0.0,0.0,0.0,0.0,63515.0
Crops and livestock products,Afghanistan,"Almonds, in shell",1371.0,2023,37000.0,1810.8,0.0,0.0,0.0,0.0,67000.0
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1654.0,2019,25293.0,704.1,0.0,0.0,0.0,0.0,17807.76
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1654.0,2020,25558.0,703.0,0.0,0.0,0.0,0.0,17965.9
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1654.0,2021,25357.0,705.0,0.0,0.0,0.0,0.0,17876.49
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1654.0,2022,25403.0,704.0,0.0,0.0,0.0,0.0,17883.38
Crops and livestock products,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1654.0,2023,25439.0,704.0,0.0,0.0,0.0,0.0,17908.59
Crops and livestock products,Afghanistan,Apples,1341.0,2019,27559.0,9083.2,0.0,0.0,0.0,0.0,250324.0
Crops and livestock products,Afghanistan,Apples,1341.0,2020,25643.0,10562.6,0.0,0.0,0.0,0.0,270857.0
Crops and livestock products,Afghanistan,Apples,1341.0,2021,30463.0,10559.4,0.0,0.0,0.0,0.0,321672.0
Crops and livestock products,Afghanistan,Apples,1341.0,2022,30163.0,10556.0,0.0,0.0,0.0,0.0,318402.0
Crops and livestock products,Afghanistan,Apples,1341.0,2023,31000.0,10451.6,0.0,0.0,0.0,0.0,324000.0
Crops and livestock products,Afghanistan,Apricots,1343.0,2019,17719.0,7300.8,0.0,0.0,0.0,0.0,129363.0
Crops and livestock products,Afghanistan,Apricots,1343.0,2020,17481.0,7538.9,0.0,0.0,0.0,0.0,131788.0
Crops and livestock products,Afghanistan,Apricots,1343.0,2021,27082.0,7661.5,0.0,0.0,0.0,0.0,207490.0
Crops and livestock products,Afghanistan,Apricots,1343.0,2022,26731.0,6378.7,0.0,0.0,0.0,0.0,170508.0
Crops and livestock products,Afghanistan,Apricots,1343.0,2023,22008.0,7062.4,0.0,0.0,0.0,0.0,155429.38
Crops and livestock products,Afghanistan,Barley,115.0,2019,84070.0,1469.9,0.0,0.0,0.0,0.0,123576.0
Crops and livestock products,Afghanistan,Barley,115.0,2020,86099.0,1483.8,0.0,0.0,0.0,0.0,127757.0
Crops and livestock products,Afghanistan,Barley,115.0,2021,40273.0,1616.5,0.0,0.0,0.0,0.0,65102.0
Crops and livestock products,Afghanistan,Barley,115.0,2022,61952.0,1528.4,0.0,0.0,0.0,0.0,94687.0
Crops and livestock products,Afghanistan,Barley,115.0,2023,80000.0,1375.0,0.0,0.0,0.0,0.0,110000.0
Crops and livestock products,Afghanistan,Butter and ghee of sheep milk,22249.01,2019,0.0,0.0,0.0,0.0,0.0,0.0,3803.54
Crops and livestock products,Afghanistan,Butter and ghee of sheep milk,22249.01,2020,0.0,0.0,0.0,0.0,0.0,0.0,4604.94
Crops and livestock products,Afghanistan,Butter and ghee of sheep milk,22249.01,2021,0.0,0.0,0.0,0.0,0.0,0.0,3691.94
Crops and livestock products,Afghanistan,Butter and ghee of sheep milk,22249.01,2022,0.0,0.0,0.0,0.0,0.0,0.0,3651.07
Crops and livestock products,Afghanistan,Butter of cow milk,22241.01,2019,0.0,0.0,0.0,0.0,0.0,0.0,36731.28
Crops and livestock products,Afghanistan,Butter of cow milk,22241.01,2020,0.0,0.0,0.0,0.0,0.0,0.0,36357.0
Crops and livestock products,Afghanistan,Butter of cow milk,22241.01,2021,0.0,0.0,0.0,0.0,0.0,0.0,38508.7
Crops and livestock products,Afghanistan,Butter of cow milk,22241.01,2022,0.0,0.0,0.0,0.0,0.0,0.0,38918.07
Crops and livestock products,Afghanistan,"Buttermilk, dry",22230.04,2019,0.0,0.0,0.0,0.0,0.0,0.0,5895.51
Crops and livestock products,Afghanistan,"Buttermilk, dry",22230.04,2020,0.0,0.0,0.0,0.0,0.0,0.0,5829.46
Crops and livestock products,Afghanistan,"Buttermilk, dry",22230.04,2021,0.0,0.0,0.0,0.0,0.0,0.0,6157.92
Crops and livestock products,Afghanistan,"Buttermilk, dry",22230.04,2022,0.0,0.0,0.0,0.0,0.0,0.0,6219.68
Crops and livestock products,Afghanistan,Cantaloupes and other melons,1229.0,2019,37136.0,12500.8,0.0,0.0,0.0,0.0,464230.0
Crops and livestock products,Afghanistan,Cantaloupes and other melons,1229.0,2020,58942.0,13462.3,0.0,0.0,0.0,0.0,793496.0
Crops and livestock products,Afghanistan,Cantaloupes and other melons,1229.0,2021,59437.0,12843.6,0.0,0.0,0.0,0.0,763382.89
Crops and livestock products,Afghanistan,Cantaloupes and other melons,1229.0,2022,70902.0,10754.8,0.0,0.0,0.0,0.0,762542.69
Crops and livestock products,Afghanistan,Cantaloupes and other melons,1229.0,2023,73628.0,10798.9,0.0,0.0,0.0,0.0,795100.45
Crops and livestock products,Afghanistan,"Cattle fat, unrendered",21512.0,2019,0.0,0.0,625556.0,0.0,0.0,0.0,2183.19
Crops and livestock products,Afghanistan,"Cattle fat, unrendered",21512.0,2020,0.0,0.0,607512.0,0.0,0.0,0.0,2173.8
Crops and livestock products,Afghanistan,"Cattle fat, unrendered",21512.0,2021,0.0,0.0,571619.0,0.0,0.0,0.0,2006.04
Crops and livestock products,Afghanistan,"Cattle fat, unrendered",21512.0,2022,0.0,0.0,532738.0,0.0,0.0,0.0,1878.44
Crops and livestock products,Afghanistan,"Cattle fat, unrendered",21512.0,2023,0.0,0.0,492797.0,0.0,0.0,0.0,1749.61
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,10632.05
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,10574.54
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,10544.72
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,10648.14
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,10142.79
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,12279.84
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,9845.19
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,9736.19
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2019,0.0,0.0,0.0,0.0,0.0,0.0,24167.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2020,0.0,0.0,0.0,0.0,0.0,0.0,24385.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2021,0.0,0.0,0.0,0.0,0.0,0.0,25691.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2022,0.0,0.0,0.0,0.0,0.0,0.0,23950.0
Crops and livestock products,Afghanistan,Cotton seed,143.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,47527.6
Crops and livestock products,Afghanistan,Cotton seed,143.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,48139.91
Crops and livestock products,Afghanistan,Cotton seed,143.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,50500.0
Crops and livestock products,Afghanistan,Cotton seed,143.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,47785.09
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,8247.33
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,8349.08
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,8743.15
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,8290.89
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2019,0.0,0.0,625556.0,0.0,0.0,0.0,15618.19
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2020,0.0,0.0,607512.0,0.0,0.0,0.0,15551.05
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2021,0.0,0.0,571619.0,0.0,0.0,0.0,14350.88
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2022,0.0,0.0,532738.0,0.0,0.0,0.0,13438.07
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2023,0.0,0.0,492797.0,0.0,0.0,0.0,12516.46
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2019,0.0,0.0,3567060.0,0.0,0.0,0.0,8992.37
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2020,0.0,0.0,3616042.0,0.0,0.0,0.0,9116.41
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2021,0.0,0.0,3596620.0,0.0,0.0,0.0,9067.81
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2022,0.0,0.0,3619703.0,0.0,0.0,0.0,9126.15
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2023,0.0,0.0,3642792.0,0.0,0.0,0.0,9184.52
